date,gpr_value,gpr_diff,gpr_pct_change,method,start_date,end_date,duration_days,identified_event,identification_method,Event_Name,Wiki_Content,Detected_Locations,Wiki_Scraped_Date,Has_Armed_Conflicts
2015-01-08,168.6398162841797,89.87946319580078,114.11764888222993,spike,,,,GPR Event 2015-01-08,auto_detected,Charlie Hebdo shooting,"• Charlie Hebdo shooting
   - One of the suspects in the killings, Hamyd Mourad, voluntarily surrenders to police in Charleville-Mézières while the other two suspects are still at large. ( The New York Times ) (CNN)
   - On the night of January 7 and morning of January 8, assailants throw grenades and fire guns at three mosques throughout France. (ForeignPolicy.com)

• 2015 Baga massacre
   - Boko Haram militants raze the entire town of Baga in north-east Nigeria. Bodies lay strewn on Baga's streets with as many as 2,000 people having been killed. Boko Haram now controls 70% of Borno State , which is the worst-affected by the insurgency. (BBC)

• Iraqi insurgency (2011–present)
   - A suicide bomber targets a police checkpoint in the town of Youssifiyah , killing seven people. (AAP via The Australian )","France, Nigeria",2015-01-08,True
2015-03-27,199.252197265625,95.84588623046876,92.68862342249395,spike,,,,GPR Event 2015-03-27,auto_detected,2015 military intervention in Yemen,"• 2015 military intervention in Yemen
   - A Middle Eastern coalition led by the Saudi Arabian army and Egyptian navy attacks positions in Yemen for the second successive day, resulting in at least ten deaths in Saada Governorate . Saudi Arabia declares that it will enforce a "" no-fly zone "". (CNN)

• War in Somalia
   - Militants believed to be from al-Shabab attack and temporarily occupy a Mogadishu hotel leaving at least nine people dead. (AP)","Saudi Arabia, Somalia, Yemen",2015-03-27,True
2015-07-15,229.97799682617188,162.27588653564453,239.6910315487605,spike,,,,GPR Event 2015-07-15,auto_detected,Boko Haram,"• Boko Haram
   - At least 33 people are killed in Boko Haram attacks in recent days in northeastern Nigeria . (CNN)

• Yemeni Crisis (2011–present)
   - Loyalists of exiled President Abd Rabbuh Mansur Hadi capture Aden International Airport after four months of being under Houthi control. (Al-Arabiyah)",Nigeria,2015-07-15,True
2015-09-22,188.75030517578125,102.33549499511719,118.42356047669185,spike,,,,GPR Event 2015-09-22,auto_detected,2015 Burkinabé coup d'état,"• 2015 Burkinabé coup d'état
   - The army of Burkina Faso arrives in Ouagadougou to seek the surrender of the Presidential Guard that staged the coup. (BBC)
   - The coup leaders free President Michel Kafando and Prime Minister Yacouba Isaac Zida after the army entered the capital, Ouagadougou . Negotiations seeking a peaceful resolution between the chief of the army and the leader of presidential guard continue. (DW Akademie)

• Moro conflict
   - Filipino troops stage raids to attempt to free six overseas-born hostages held by Abu Sayyaf militants. (AP)

• Syrian Civil War , Russia's role in the Syrian Civil War
   - IHS Jane's reports satellite photos, taken in mid-September, show Russian forces developing two additional military facilities near Syria's Mediterranean coast . (Reuters)
   - U.S. Secretary of State John Kerry says the type of Russian aircraft in Syria is consistent with that needed to protect their own forces. However, it is still not clear what Russia's long-term intentions are. (Voice of America) , (Reuters)","Russia, Syria",2015-09-22,True
2015-11-16,291.9892578125,230.4173698425293,374.2249546658475,spike,,,,GPR Event 2015-11-16,auto_detected,November 2015 Paris attacks,"• November 2015 Paris attacks
   - Authorities search for Belgium -born French national Salah Abdeslam, one of three brothers suspected of involvement in the attacks. Raids are reported to have taken place in Grenoble , Toulouse , Jeumont and the Paris suburb of Bobigny . This contradicts previously published official information that all the perpetrators of the attacks were dead. (CNN) ( The Guardian )
   - Mohamed Abdeslam, brother of suspect fugitive Salah Abdeslam , and Ibrahim Abdeslam, a suicide bomber in the attacks, is released by authorities after questioning this weekend. His attorney told reporters, her client ""hadn't made the same life choices."" (The Independent) (Fox News)
   - Abdelhamid Abaaoud , a leading Belgian jihadist who is one of the most active ISIS operators in Syria , is the suspected head organizer behind the Paris massacre. He is also linked to thwarted attacks on a Paris -bound high-speed train and a church near the French capital, earlier this year. (NBC News)
   - Hacktivist group Anonymous declares war on ISIS taking down 2,000 related Twitter accounts as well as some donation groups for the terrorists on the Dark Web . The group also criticized the lack of similar actions by Western governments. (MSN)
   - A U.S. official states that intelligence sources detect increased chatter encouraging terrorist attacks on the U.S. but lacks credible or actionable information. This, following reports that Iraqi intelligence sources warned anti- ISIS coalition members of attacks one day before the attacks. The information from Iraq also lacked specific information. (Associated Press via Military.com) (Associate Press via Military Times)
   - The governors of the U.S. states of Alabama , Arizona , Arkansas , Florida , Georgia , Idaho , Illinois , Indiana , Iowa , Kansas , Louisiana , Maine , Michigan , Mississippi , Massachusetts , Nebraska , New Hampshire , North Carolina , Ohio , Oklahoma , South Carolina , Tennessee , Texas and Wisconsin say they will not accept Syrian refugees in response to the Islamic terror attacks in Paris . Twenty-three of the 24 governors are Republican with the other being Democrat (New Hampshire). (USA Today)

• Saudi Arabian-led intervention in Yemen
   - Yemeni security officials, who are neutral in the conflict, say Saudi -led airstrikes and clashes have killed over 40 Houthi militants and 4 civilians over the past 24 hours, with most of the airstrikes taking place in the southwestern Ibb Governorate . ( The Washington Post )

• Sinai insurgency
   - Egypt 's security forces shoot dead at least 24 ISIS militants as they hid inside a cave in a mountainous area in central Sinai , not far from the crash site of Metrojet Flight 9268 , a Russian airliner the group says it brought down. (Reuters) (Independent)","Belgium, Egypt, Georgia, Iraq, Sinai, Syria, Yemen",2015-11-16,True
2016-01-01,208.8357849121093,138.72853088378898,197.88042308396308,spike,,,,GPR Event 2016-01-01,auto_detected,Israeli–Palestinian conflict,"• Israeli–Palestinian conflict
   - A shooting takes place at a pub in Tel Aviv , Israel , leaving two dead and eight injured. The gunman managed to escape and possibly killed his accomplice, an Arab taxi driver, whose body was found nearby. The police identified the shooter as 30 year old muslim Nisa'at Melkham from Ar'ara and searched his home. ( Haaretz )",Israel,2016-01-01,True
2016-03-23,245.37538146972656,169.00494384765625,221.29628834130898,spike,,,,GPR Event 2016-03-23,auto_detected,2016 Brussels bombings,"• 2016 Brussels bombings
   - Belgian federal prosecutor Frederic Van Leeuw  says two brothers of Belgian nationality, Khalid and Brahim el-Bakraoui, were responsible for yesterday's suicide bombings. Khalid bombed the subway station while Ibrahim bombed the airport, he added. A third suspect, who died at the airport, is identified as Najim Laachraoui, says De Standaard . A fourth suspect seen in the airport photo, who left a massive bomb at the airport that did not detonate, is unidentified and still at large. (UPI) ( Los Angeles Times ) ( De Standaard )
   - Van Leeuw says 31 people died and 271 are injured in the bombings. (UPI)
   - Referring to the Brussels bombings, Poland abandons a pledge to shelter Syrian migrants under a European Union relocation agreement. (Reuters)

• Yemeni Civil War (2015–present) , War on Terror
   - At least 50 militants are reportedly killed in a U.S. air strike on an Al-Qaeda training camp in southern Yemen . (Reuters)","Poland, Yemen",2016-03-23,True
2016-09-19,255.72784423828125,204.69388961791992,401.09352908397176,spike,,,,GPR Event 2016-09-19,auto_detected,2016 New York and New Jersey bombings,"• 2016 New York and New Jersey bombings
   - A bomb squad robot detonates an explosive device at a transit station in Elizabeth, New Jersey . There has been a previous explosion in Seaside Park . No one is hurt. (NBC News)
   - Linden, New Jersey police shoot and arrest Ahmad Khan Rahami, the suspected perpetrator. Two police officers are reportedly injured. ( The New York Times )

• War in Afghanistan (2001–2021)
   - Afghan officials say yesterday's U.S. airstrikes killed up to eight Afghan policemen in Lashkar Gah , Uruzgan . (Reuters)

• A Democratic Republic of the Congo protest calling for the resignation of President Joseph Kabila turns violent in Kinshasa , leaving at least 17 people dead, including three police officers. Opposition groups say that 50 people died. (Le Point) (DNA) (BBC)

• Syrian civil war
   - Hours after the Syrian military declares the end of the ceasefire, an airstrike hits a convoy of United Nations OCHA aid trucks near the town of Urum al-Kubra , in the Aleppo Governorate , with the Syrian Observatory for Human Rights reporting that at least 12 people have been killed. (BBC)","Afghanistan, Aleppo, Congo",2016-09-19,True
2016-12-30,206.6664276123047,107.8821029663086,109.20973884562693,spike,,,,GPR Event 2016-12-30,auto_detected,2016 Berlin truck attack,"• 2016 Berlin truck attack
   - The funeral of Łukasz Urban, the driver killed in the course of last week's attack on a Christmas market in Berlin, takes place in his village of Banie near the German border. President of Poland Andrzej Duda and a German diplomat attend. (BBC) (Deutsche Welle)",Poland,2016-12-30,True
2017-02-10,212.408935546875,120.10829162597656,130.12725212286628,spike,,,,GPR Event 2017-02-10,auto_detected,French police arrest three men and a 16-year-old girl found with bomb-making materials in a Montpellier flat.,"• French police arrest three men and a 16-year-old girl found with bomb-making materials in a Montpellier flat. The female suspect had been spotted online saying she wanted to either leave for the Syria-Iraq conflict or mount an attack in France, and recorded a video in which she pledged allegiance to ISIL . (BBC)

• In Hong Kong,  over 16 were injured, and an incoherent man  was charged with arson after an alleged firebomb attack on a rush hour Hong Kong metro commuter train. The man set fire to himself and others with a flammable liquid for an unspecified personal reason, but officials found no evidence of a terrorist motive. ( Independent )","France, Iraq, Syria",2017-02-10,True
2017-03-22,156.499267578125,75.28044128417969,92.68841316633467,spike,,,,GPR Event 2017-03-22,auto_detected,2017 Westminster attack,"• 2017 Westminster attack
   - An attacker carries out a vehicle-ramming attack outside the Houses of Parliament in London, before stabbing a police officer and subsequently being shot by security forces. Including the attacker, there are at least four people dead. (BBC) (Sky News) (Fox News)

• Syrian Civil War
   - Raqqa campaign (2016–2017) A U.S. -led coalition airstrike on a school west of Raqqa , kills at least 33 people. ( The Guardian )
   - A U.S. -led coalition airstrike on a school west of Raqqa , kills at least 33 people. ( The Guardian )
   - Syrian rebels, led by Tahrir al-Sham , launch an offensive in the Hama Governorate , capturing the towns of Suran , Khitab and Al-Majdal . (Reuters)

• Boko Haram insurgency
   - 2017 Maiduguri attack Multiple suicide blasts occur at a refugee camp near Maiduguri , Nigeria , leaving eight people dead and wounding 18 others. (Al Jazeera) (All Africa)
   - Multiple suicide blasts occur at a refugee camp near Maiduguri , Nigeria , leaving eight people dead and wounding 18 others. (Al Jazeera) (All Africa)

• An Israeli Army tank kills a Palestinian teenager and wounds two others near the Gaza border. ( The Jerusalem Post )

• March 2017 Israel–Syria incident
   - The Israeli Air Force resumes bombing against suspected Hezbollah -related targets in Syria , with a fourth round of bombings occurring near military sites near Damascus . ( The Financial Times )","Damascus, Gaza, Israel, Jerusalem, Nigeria, Syria",2017-03-22,True
2017-06-05,276.6095275878906,188.03820037841797,212.30143693534646,spike,,,,GPR Event 2017-06-05,auto_detected,2017 Orlando shooting,"• 2017 Orlando shooting
   - A discharged 45-year-old former employee shoots and kills five people at a manufacturing business in Orlando , Florida , United States . The shooter took his own life afterwards. Eight others inside the workplace survived. (CNN) (ABC News)

• 2017 Brighton siege
   - In Brighton , a suburb of Melbourne , Australia, a gunman kills one man and holds one woman hostage before he is shot dead by Victoria Police . The incident is being treated as an act of terrorism. Islamic State in Iraq and the Levant has claimed responsibility for the attack but Victoria Police claim that there is little evidence to suggest a connection. (Aus. Broadcasting Corp.) ( Herald Sun )","Australia, Iraq, United States",2017-06-05,True
2017-07-05,208.90066528320312,130.95789337158203,168.0180088027592,spike,,,,GPR Event 2017-07-05,auto_detected,Mexican Drug War,"• Mexican Drug War
   - A gunfight between La Línea gang members and a rival cartel in Madera Municipality , Chihuahua , leaves at least 14 people dead. ( The Washington Post )",,2017-07-05,True
2017-08-10,215.31689453125,79.02162170410156,,high_period,2017-08-10,2017-08-22,13.0,GPR Event 2017-08-10,auto_detected,Levallois-Perret attack,"• Levallois-Perret attack
   - In a suspected terror attack, six French soldiers are injured, three seriously, when a man drives a car into them at a barracks in the Paris suburb of Levallois-Perret . ( Independent )",,2017-08-09,True
2017-09-04,253.0950622558593,119.40399169921866,89.31336341467251,spike,,,,GPR Event 2017-09-04,auto_detected,War in Afghanistan (2001–2021),"• War in Afghanistan (2001–2021)
   - At least 11 Afghan civilians are killed and 16 wounded when a NATO helicopter attacked a house where Taliban insurgents had taken shelter in Logar Province , east of Kabul . (Reuters)

• Syrian Civil War
   - American-led intervention in Syria CJTF–OIR jets destroy a section of road, blocking the path of a convoy carrying ISIL evacuees from the Lebanon–Syria border en route to Abu Kamal in the Deir ez-Zor Governorate . The convoy, carrying 308 militants and 331 civilians according to Hezbollah , is now effectively stranded in Syrian government-controlled territory. (Reuters)
   - CJTF–OIR jets destroy a section of road, blocking the path of a convoy carrying ISIL evacuees from the Lebanon–Syria border en route to Abu Kamal in the Deir ez-Zor Governorate . The convoy, carrying 308 militants and 331 civilians according to Hezbollah , is now effectively stranded in Syrian government-controlled territory. (Reuters)","Afghanistan, Kabul, Lebanon, Syria",2017-08-30,True
2017-11-02,188.31134033203125,112.45101165771484,148.2342795276957,spike,,,,GPR Event 2017-11-02,auto_detected,Syrian Civil War,"• Syrian Civil War
   - Battle of Deir ez-Zor According to the Syrian Observatory for Human Rights , the city of Deir ez-Zor has largely been cleared of ISIS fighters by the Syrian Armed Forces . Deir ez-Zor was the scene of a three-year-long siege until it was broken in September 2017. ( The Guardian )
   - According to the Syrian Observatory for Human Rights , the city of Deir ez-Zor has largely been cleared of ISIS fighters by the Syrian Armed Forces . Deir ez-Zor was the scene of a three-year-long siege until it was broken in September 2017. ( The Guardian )",,2017-11-02,True
2018-01-02,188.6905670166016,92.1142501831055,95.37975065037581,spike,,,,GPR Event 2018-01-02,auto_detected,Kashmir conflict,"• Kashmir conflict
   - An armed standoff between Indian security forces and Kashimiri rebels at a paramilitary base ends after 36 hours and leaves eight people dead. (Al Jazeera)",Kashmir,2018-01-01,True
